Restaurant ID;Restaurant Name;Country Code;City;Address;Locality;Locality Verbose;Longitude;Latitude;Cuisines;Average Cost for two;Currency;Has Table booking;Has Online delivery;Is delivering now;Switch to order menu;Price range;Aggregate rating;Rating color;Rating text;Votes;
902109;Sheba Kuzhimandhi;1;Kochi;Near BMC, Seaport Airport Road, Kakkanad, Kochi;Kakkanad;Kakkanad, Kochi;763.366.143.778;100.283.599.885;Arabian;400;Indian Rupees(Rs.);0;1;0;0;1;4.2;5BA829;Very Good;516;
18478570;The Burger Junction;1;Kochi;1st Floor, M M Tower II, Seaport Airport Road, Ecchamukku Junction, Kakkanad, Kochi;Kakkanad;Kakkanad, Kochi;763.419.667.259;100.113.255.925;Burger, Fast Food;450;Indian Rupees(Rs.);0;1;0;0;1;4.3;5BA829;Very Good;379;
900734;The Voyager;1;Kochi;MM Tower 2, Ecchamukku Junction, Seaport Airport Road, Kakkanad, Kochi;Kakkanad;Kakkanad, Kochi;763.420.988.247;100.115.705.793;Cafe, Burger, Desserts, Italian, North Indian, Chinese, Steak;600;Indian Rupees(Rs.);0;1;0;0;2;4.0;5BA829;Very Good;528;
900561;Tonico Cafe;1;Kochi;Opposite CSEZ, Seaport Airport Road, Kakkanad, Kochi;Kakkanad;Kakkanad, Kochi;763.453.972.200;100.068.805.600;Cafe;400;Indian Rupees(Rs.);0;1;0;0;1;4.3;5BA829;Very Good;935;
902218;Zesti Arabia ;1;Kochi;Opposite Padamughal Juma Masjid,, Civil Line Road,Padamughal, Kakkanad;Kakkanad;Kakkanad, Kochi;763.313.554.687;100.134.425.000;Arabian;400;Indian Rupees(Rs.);0;1;0;0;1;4.1;5BA829;Very Good;350;
18398435;Bikash Babu Sweets;1;Kochi;Katrikadavu Bridge, Ernakulam, Near, Kaloor, Kochi;Kaloor;Kaloor, Kochi;762.966.135.889;99.790.203.847;Mithai, Fast Food;250;Indian Rupees(Rs.);0;1;1;0;1;4.5;3F7E00;Excellent;231;
900524;Cafe 17;1;Kochi;Ground Floor, Unisquare Building, Opposite Sreedhareeyam Eye Hospital, Kathrikadavu, Kaloor, Kochi;Kaloor;Kaloor, Kochi;762.952.111.111;99.884.833.333;Cafe, Continental, Italian;700;Indian Rupees(Rs.);0;1;0;0;2;4.6;3F7E00;Excellent;900;
902618;Alfie's;1;Kochi;Near Karukapilly Juma Masjid, Deshabhimani Road, Kaloor, Kochi;Kaloor;Kaloor, Kochi;762.950.974.703;100.047.138.506;Continental, Fast Food;400;Indian Rupees(Rs.);0;1;0;0;1;3.7;9ACD32;Good;389;
902618;Alfie's;1;Kochi;Near Karukapilly Juma Masjid, Deshabhimani Road, Kaloor, Kochi;Kaloor;Kaloor, Kochi;762.950.974.703;100.047.138.506;Continental, Fast Food;400;Indian Rupees(Rs.);0;1;0;0;1;3.7;9ACD32;Good;389;
95203;The Hot Spot & Arabian Nights;1;Kochi;Kaloor-kadavanthra road, Kathrikadavu, kochi;Kaloor;Kaloor, Kochi;762.957.237.661;99.850.782.477;Seafood, South Indian, North Indian, Chinese, Ice Cream, Arabian, Grill;550;Indian Rupees(Rs.);0;1;0;0;2;3.6;9ACD32;Good;392;
900800;ChaiCofi;1;Kochi;Arammal Tower, Near Express Garden, KK Road, Kaloor, Kochi;Kaloor;Kaloor, Kochi;762.926.362.082;99.929.636.030;Continental, Burger, Cafe, Italian, Pizza, Steak;750;Indian Rupees(Rs.);0;1;1;0;2;4.3;5BA829;Muy Bueno;522;
902479;Hotel Paradise - Karukappilly;1;Kochi;44/2708-C, Desabhimani Road, Palarivattom, Karukappilly, Mamangalam, Kaloor, Kochi;Kaloor;Kaloor, Kochi;762.954.430.000;100.040.120.000;Biryani, Mughlai;400;Indian Rupees(Rs.);0;1;0;0;1;4.0;5BA829;Very Good;272;
95360;Real Arabia;1;Kochi;Near Jawaharlal Nehru International Stadium, Janatha Road, Kaloor, Kochi;Kaloor;Kaloor, Kochi;763.013.000.000;100.013.916.667;Arabian, Chinese, North Indian;300;Indian Rupees(Rs.);0;1;0;0;1;4.0;5BA829;Very Good;358;
900539;Kochi Kitchen - Kochi Marriott Hotel;1;Kochi;Kochi Marriott Hotel, Lulu International Shopping Mall, 34/1111 N. H. 47, Edappally, Kochi;Kochi Marriott Hotel, Edappally;Kochi Marriott Hotel, Edappally, Kochi;763.076.720.000;100.293.670.000;Italian, Asian, North Indian;2000;Indian Rupees(Rs.);0;0;0;0;4;4.6;3F7E00;Excellent;417;
900533;Paragon;1;Kochi;F 82-83, Level 1, LuLu Mall, NH-17, Entrance Road, Edapally Junction, Edappally, Kochi;LuLu Mall, Edappally;LuLu Mall, Edappally, Kochi;763.082.583.300;100.273.638.900;Kerala, South Indian, Continental, North Indian, Seafood, Chinese;900;Indian Rupees(Rs.);0;0;0;0;2;4.5;3F7E00;Excellent;1475;
95314;KFC;1;Kochi;Level 3, LuLu Mall, Edapally Bypass, Edappally, Kochi;LuLu Mall, Edappally;LuLu Mall, Edappally, Kochi;0.0000000000;100.271.166.776;Burger, Fast Food;500;Indian Rupees(Rs.);0;0;0;0;2;3.7;9ACD32;Good;426;
95304;Bloomsbury's Global Kitchen & Bakehouse;1;Kochi;S 74, Level 2, LuLu Mall, NH-17, Entrance Road, Edapally Junction, Edappally, Kochi;LuLu Mall, Edappally;LuLu Mall, Edappally, Kochi;763.080.527.800;100.270.138.900;Cafe, Salad, Italian, American, Bakery, Beverages;650;Indian Rupees(Rs.);0;0;0;0;2;4.4;5BA829;Very Good;891;
95304;Bloomsbury's Global Kitchen & Bakehouse;1;Kochi;S 74, Level 2, LuLu Mall, NH-17, Entrance Road, Edapally Junction, Edappally, Kochi;LuLu Mall, Edappally;LuLu Mall, Edappally, Kochi;763.080.527.800;100.270.138.900;Cafe, Salad, Italian, American, Bakery, Beverages;650;Indian Rupees(Rs.);0;0;0;0;2;4.4;5BA829;Very Good;891;
18153935;Galito's;1;Kochi;Shop R3, 3rd Floor, Lulu Mall, Edappally, Kochi;LuLu Mall, Edappally;LuLu Mall, Edappally, Kochi;763.079.808.044;100.278.164.732;African, Burger, Desserts, Beverages, Fast Food, Salad;900;Indian Rupees(Rs.);0;0;0;0;2;4.2;5BA829;Very Good;470;
18153935;Galito's;1;Kochi;Shop R3, 3rd Floor, Lulu Mall, Edappally, Kochi;LuLu Mall, Edappally;LuLu Mall, Edappally, Kochi;763.079.808.044;100.278.164.732;African, Burger, Desserts, Beverages, Fast Food, Salad;900;Indian Rupees(Rs.);0;0;0;0;2;4.2;5BA829;Very Good;470;
